X/mm,U1/mV£¨+B +I£©,,U2/mV£¨+B -I£©,,U3/mV£¨-B +I£©,,U4/mV£¨-B -I£©,,Uh=(U1-U2-U3+U4)/4   mA,,B/mT,
,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à,×ó²à,ÓÒ²à
0,9.07,9.06,-9.06,-9.06,-8.3,-8.31,8.3,8.29,,,,
30,9.1,9.02,-9.11,-9.02,-8.36,-8.27,8.34,8.25,,,,
60,9.04,8.89,-9.04,-8.88,-8.3,-8.13,8.27,8.12,,,,
90,8.87,8.59,-8.87,-8.59,-8.12,-7.84,8.12,7.81,,,,
110,8.32,8.01,-8.33,-7.97,-7.58,-7.25,7.57,7.22,,,,
130,6.39,6.18,-6.39,-6.15,-5.67,-5.32,5.63,5.29,,,,
150,2.88,2.7,-2.84,-2.69,-2.12,-2.12,2.1,2.09,,,,
160,1.75,1.72,-1.81,-1.72,-1.08,-0.99,1.06,0.99,,,,
170,1.22,1.22,-1.22,-1.19,-0.52,-0.48,0.51,0.47,,,,
180,0.92,0.9,-0.94,-0.91,-0.24,-0.19,0.23,0.18,,,,
190,0.73,0.73,-0.74,-0.73,-0.05,-0.02,0.04,0.02,,,,
